ability_name,ability_display_name,generation,short_effect_en
adaptability,Adaptability,generation-iv,Increases the same-type attack bonus from 1.5× to 2×.
aerilate,Aerilate,generation-vi,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.
aftermath,Aftermath,generation-iv,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
air-lock,Air Lock,generation-iii,"Negates all effects of weather, but does not prevent the weather itself."
analytic,Analytic,generation-v,Strengthens moves to 1.3× their power when moving last.
anger-point,Anger Point,generation-iv,Raises Attack to the maximum of six stages upon receiving a critical hit.
anger-shell,Anger Shell,generation-ix,"When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."
anticipation,Anticipation,generation-iv,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
arena-trap,Arena Trap,generation-iii,Prevents opponents from fleeing or switching out. Eluded by flying-types and Pokémon in the air.
armor-tail,Armor Tail,generation-ix,"Prevents the opponent from using any moves that have priority, such as Quick Attack."
aroma-veil,Aroma Veil,generation-vi,Protects allies against moves that affect their mental state.
as-one-glastrier,As One,generation-viii,
as-one-spectrier,As One,generation-viii,
aura-break,Aura Break,generation-vi,Makes dark aura and fairy aura weaken moves of their respective types.
bad-dreams,Bad Dreams,generation-iv,Damages sleeping opponents for 1/8 their max HP after each turn.
ball-fetch,Ball Fetch,generation-viii,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
battery,Battery,generation-vii,Ally Pokémon's moves have their power increased to 1.3×.
battle-armor,Battle Armor,generation-iii,Protects against critical hits.
battle-bond,Battle Bond,generation-vii,Transforms this Pokémon into Ash-Greninja after fainting an opponent. Water Shuriken's power is 20 and always hits three times.
beads-of-ruin,Beads of Ruin,generation-ix,Lowers Special Defense of all Pokémon except itself.
beast-boost,Beast Boost,generation-vii,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.
berserk,Berserk,generation-vii,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.
big-pecks,Big Pecks,generation-v,Protects against Defense drops.
blaze,Blaze,generation-iii,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
bulletproof,Bulletproof,generation-vi,"Protects against bullet, ball, and bomb-based moves."
cheek-pouch,Cheek Pouch,generation-vi,"Restores HP upon eating a Berry, in addition to the Berry's effect."
chilling-neigh,Chilling Neigh,generation-viii,Boosts Attack after knocking out a Pokémon.
chlorophyll,Chlorophyll,generation-iii,Doubles Speed during strong sunlight.
clear-body,Clear Body,generation-iii,Prevents stats from being lowered by other Pokémon.
cloud-nine,Cloud Nine,generation-iii,"Negates all effects of weather, but does not prevent the weather itself."
color-change,Color Change,generation-iii,Changes type to match when hit by a damaging move.
comatose,Comatose,generation-vii,This Pokémon always acts as though it were Asleep.
commander,Commander,generation-ix,Goes inside the mouth of an ally Dondozo if one is on the field.
competitive,Competitive,generation-vi,Raises Special Attack by two stages upon having any stat lowered.
compound-eyes,Compound Eyes,generation-iii,Increases moves' accuracy to 1.3×.
contrary,Contrary,generation-v,Inverts stat changes.
corrosion,Corrosion,generation-vii,This Pokémon can inflict poison on Poison and Steel Pokémon.
costar,Costar,generation-ix,Copies ally's stat changes on entering battle.
cotton-down,Cotton Down,generation-viii,When Ignores moves and abilities that draw in moves.
cud-chew,Cud Chew,generation-ix,Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.
curious-medicine,Curious Medicine,generation-viii,Resets all stat changes upon entering battlefield.
