species_slug,dexnum_int,entry_order,flavor_text_en
bulbasaur,1,1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
bulbasaur,1,2,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
bulbasaur,1,3,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
bulbasaur,1,4,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
bulbasaur,1,5,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
bulbasaur,1,6,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
bulbasaur,1,7,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.
bulbasaur,1,8,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
bulbasaur,1,9,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
bulbasaur,1,10,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
bulbasaur,1,11,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
bulbasaur,1,12,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
ivysaur,2,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
ivysaur,2,2,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
ivysaur,2,3,Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger.
ivysaur,2,4,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
ivysaur,2,5,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
ivysaur,2,6,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
ivysaur,2,7,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
ivysaur,2,8,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
